Stats,Last 3,Last 5,Season,League,Last 3 Difference,Last 5 Difference,Season Difference
Goals,1.3333333333333333,1.6,1.2857142857142858,1.0806451612903225,0.25268817204301075,0.5193548387096776,0.2050691244239633
xG (Expected goals),1.6633333333333333,1.78,1.3914285714285715,1.1951612903225806,0.46817204301075277,0.5848387096774195,0.1962672811059909
Shots on target,8.333333333333334,7.6,6.714285714285714,4.967741935483871,3.365591397849463,2.6322580645161286,1.7465437788018434
Net xG (xG - Opponent's xG),0.5966666666666667,0.47200000000000003,-0.2471428571428571,-0.61,1.2066666666666666,1.082,0.3628571428571429
Attacks with shots - right flank,6,4.4,3.5714285714285716,2.3548387096774195,3.6451612903225805,2.045161290322581,1.2165898617511521
