Stats,Last 3,Last 5,Season,League,Last 3 Difference,Last 5 Difference,Season Difference
Positional attacks with shots,8.333333333333334,7.6,6.571428571428571,5.274193548387097,3.059139784946237,2.3258064516129027,1.2972350230414742
Accurate passes,337,333,306.57142857142856,271.14516129032256,65.85483870967744,61.85483870967744,35.42626728110599
Entrances on final third of opponent's half,46,48.8,39.57142857142857,38,8,10.799999999999997,1.5714285714285694
Entrances to the opponent's box,14.333333333333334,14.8,11.714285714285714,10.774193548387096,3.559139784946238,4.025806451612905,0.9400921658986174
