Stats,Last 3,Last 5,Season,League,Last 3 Difference,Last 5 Difference,Season Difference
Goals,1.6666666666666667,1,1.625,1.0806451612903225,0.5860215053763442,-0.08064516129032251,0.5443548387096775
xG (Expected goals),1.0166666666666666,0.774,1.55375,1.1951612903225806,-0.17849462365591395,-0.42116129032258054,0.3585887096774194
Positional attacks,58.666666666666664,56.4,62.375,69,-10.333333333333336,-12.600000000000001,-6.625
Counter-attacks,23.666666666666668,20.8,19,17.870967741935484,5.795698924731184,2.9290322580645167,1.129032258064516
