Stats,Last 3,Last 5,Season,League,Last 3 Difference,Last 5 Difference,Season Difference
Key passes,5.666666666666667,4.8,6.625,4.354838709677419,1.311827956989248,0.4451612903225808,2.270161290322581
Chances,3.6666666666666665,2.6,4.75,4,-0.3333333333333335,-1.4,0.75
Chances successful,1.6666666666666667,1,1.625,1.0806451612903225,0.5860215053763442,-0.08064516129032251,0.5443548387096775
Lost balls,113.66666666666667,108.6,101.25,106.16129032258064,7.505376344086031,2.4387096774193537,-4.911290322580641
