Name,Player Number,InStat Index,Matches played,Minutes played,Starting lineup appearances,Substitutes in,Goals,Shots,xG (Expected goals),Chances,Assists,Key passes,Key passes accurate,Expected assists,Accurate passes,Lost balls,Lost balls in own half,Attacking challenges,Attacking challenges won,Tackles,Tackles successful,Defensive challenges,Defensive challenges won,Air challenges,Air challenges won,Ball interceptions,Ball recoveries in opponent's half,Fouls suffered
Natalie Graf,2,141,8,648,8,4,0,4,0.74,1,0,0,0,0.09,243,54,23,48,24,18,12,74,40,44,20,37,14,3
Alexis Gaffney,5,138,7,274,4,7,0,4,0.2,1,0,0,0,0.28,61,32,12,31,13,5,0,14,3,14,4,13,5,3
Cara Crompton,26,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Chase Ray,25,132,7,284,1,9,0,1,0.05,0,0,0,0,0,78,30,14,16,6,9,6,24,12,12,6,22,8,1
Cassidy Eckstein,8,135,7,270,1,9,0,0,0,0,0,0,0,0,63,26,8,18,9,21,15,44,22,13,4,19,8,3
Morgen Metzger,27,141,8,491,6,6,0,2,0.13,0,0,2,0,0.23,109,33,5,15,7,16,9,40,26,10,6,12,11,5
NA,14.666666666666666,137.5,6.261904761904762,356.45238095238096,3.619047619047619,8.19047619047619,0.23809523809523808,4.428571428571429,0.36404761904761906,1.1428571428571428,0.30952380952380953,1.5,0.7380952380952381,0.45357142857142857,85.5952380952381,35.88095238095238,11.404761904761905,38.04761904761905,16.952380952380953,15.071428571428571,8.357142857142858,40.285714285714285,20.214285714285715,20.857142857142858,9.071428571428571,22.952380952380953,9.023809523809524,3.6666666666666665
