Stats,Last 3,Last 5,Season,League,Last 3 Difference,Last 5 Difference,Season Difference
Challenges,241.33333333333334,236.2,236.1818181818182,209.82608695652175,31.507246376811594,26.37391304347824,26.355731225296438
Team pressing,23.666666666666668,27.8,25.363636363636363,24.956521739130434,-1.2898550724637659,2.843478260869567,0.4071146245059296
Opponent's xG,1.8633333333333333,1.624,1.3954545454545455,1.7452173913043478,0.11811594202898545,-0.12121739130434772,-0.34976284584980233
