Stats,Last 3,Last 5,Season
Passes,1108,2111,4066
Accurate passes,711,1461,2849
Chances,14,25,36
Chances successful,4,6,9
Accurate passes,711,1461,2849
Key passes,18,29,38
Key passes accurate,10,15,21
Crosses,22,48,80
Crosses accurate,5,9,15
Dribbles,51,114,248
Dribbles successful,29,62,130
Lost balls,314,529,1013
Lost balls in own half,102,156,346
Entrances on opponent's half,203,376,676
Entrances on final third of opponent's half,108,204,321
Entrances to the opponent's box,31,59,95
