Stats,Last 3,Last 5,Season
Goals,2,1.5,1.5
Shots,8,10,8.2
Shots on target,4.333333333333333,5.4,4.666666666666667
xG (Expected goals),0.9933333333333333,1.256,0.9410000000000001
xG conversion,1.6433333333333333,1.238,1.038
xG per shot,0.12666666666666668,0.126,0.124
xG per goal,0.805,1.2275,0.9916666666666667
Corners,4.5,4.25,3.2222222222222223
Net xG (xG - Opponent's xG),-0.9633333333333333,-0.422,-0.794
Expected points,0.9333333333333333,1.2,0.87
