Stats,Last 3,Last 5,Season,League,Last 3 Difference,Last 5 Difference,Season Difference
Challenges,273.3333333333333,244,224.33333333333334,209.25806451612902,64.07526881720429,34.741935483870975,15.075268817204318
Attacking challenges,141,123.6,113.11111111111111,101.16129032258064,39.83870967741936,22.438709677419354,11.949820788530474
Defensive challenges,132.33333333333334,120.4,111.22222222222223,108.09677419354838,24.23655913978496,12.303225806451621,3.125448028673844
Free ball pick ups,126,118.2,106.66666666666667,90.24193548387096,35.75806451612904,27.958064516129042,16.42473118279571
Opponent's xG,1.3666666666666667,1.512,1.7644444444444445,1.8038709677419356,-0.43720430107526886,-0.29187096774193555,-0.03942652329749108
